number,school,team,exhibition,city,state,track,rank,total,Anatomy and Physiology,Astronomy,Boomilever,Bungee Drop,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Electric Vehicle,Entomology,Experimental Design,Forensics,Helicopter,Hovercraft,Machines,Materials Science,Remote Sensing,Robot Tour,Rocks and Minerals,Water Quality
86,Walton High School,,,Marietta,GA,,1,244,16,24,5,4,11,28,11,28,4,4,11,19,12,3,2,2,8,5,16,1,12,18
49,Marquette University High School,,,Milwaukee,WI,,2,288,9,3,4,9,19,30,5,7,1,12,10,4,3,15,1,6,39,8,36,8,10,49
73,South Pasadena High School,Awesome Sauce,,South Pasadena,CA,,3,430,42,6,11,8,20,34,21,39,30,23,5,9,7,24,3,3,32,19,34,5,34,21
4,BASIS Cedar Park,A,,Cedar Park,TX,,4,570,27,30,13,2,18,26,23,23,26,25,8,32,8,44,89,7,38,38,45,9,13,26
71,Seven Lakes High School,Orange,,Katy,TX,,5,632,13,7,89,89,6,8,19,14,20,26,6,1,27,1,89,89,6,6,6,89,17,4
74,South Pasadena High School,Chilean Sea Bass,,South Pasadena,CA,,6,652,30,45,12,6,21,36,29,45,8,18,89,43,48,23,10,4,10,48,48,7,40,32
47,Liberal Arts and Science Academy,Proton,,Austin,TX,,7,660,2,11,89,89,14,31,6,4,3,45,3,40,4,13,89,5,2,33,13,89,31,44
1,Arcadia High School,1,,Arcadia,CA,,8,660,11,25,3,89,2,53,12,20,49,8,4,25,26,21,12,89,46,9,26,89,16,25
2,Arcadia High School,2,,Arcadia,CA,,9,716,12,15,1,89,4,11,24,31,51,3,89,8,9,9,89,89,14,29,9,89,8,33
54,Monta Vista High School,Blue,,Cupertino,CA,,10,743,7,10,89,89,7,4,1,32,10,2,89,89,5,12,89,89,4,3,4,89,9,10
26,Iolani School,Alfalfa,,Honolulu,HI,,11,747,20,4,89,89,3,10,3,5,5,6,89,5,1,20,89,89,29,25,27,89,44,6
72,Shaker High School,,,Latham,NY,,12,781,89,37,13,3,33,58,31,50,31,50,12,20,48,32,12,89,13,24,12,89,23,12
31,Irvine High School,Indigo,,Irvine,CA,,13,796,32,56,89,5,12,15,25,8,17,29,89,35,35,5,89,89,19,14,49,11,49,24
70,Seven Lakes High School,Blue,,Katy,TX,,14,801,23,5,89,89,30,3,7,1,35,9,89,39,21,48,89,89,7,15,1,89,22,1
46,Liberal Arts and Science Academy,Neutron,,Austin,TX,,15,820,58,49,89,89,31,54,27,18,19,7,15,26,16,47,89,89,24,17,7,4,15,30
69,River City Science Academy Middle-High School,RaTs,,Jacksonville,FL,,16,879,28,35,2,89,58,16,32,17,29,24,89,22,38,30,89,89,33,7,21,89,26,16
75,Sunset High School,Sunset Armadillos,,Portland,OR,,17,895,10,21,89,89,69,47,47,44,7,13,9,37,15,45,89,89,31,11,17,89,24,3
