number,school,team,exhibition,city,state,track,rank,total,Anatomy and Physiology,Astronomy,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Engineering CAD,Entomology,Forensics,Machines,Materials Science,Remote Sensing,Rocks and Minerals,Science in the News (Trial),Water Quality
173,Palo Alto High School,Green,,Palo Alto,CA,Combined,1,263,26,1,6,2,9,15,16,13,11,10,6,28,7,34,39,232,40
129,Marquette University High School,,,Milwaukee,WI,Combined,2,299,11,4,28,33,4,2,3,5,99,3,17,22,28,16,7,232,17
57,Davidson Academy,,,Reno,NV,Combined,3,410,57,10,12,43,11,86,41,8,16,68,17,3,13,8,12,232,5
20,Archimedean Upper Conservatory,Alpha,,Miami,FL,Combined,4,445,15,53,46,11,10,4,31,41,34,11,14,22,46,13,43,17,51
122,Liberal Arts and Science Academy,Neutron,,Austin,TX,Combined,5,459,66,7,51,5,3,7,78,25,120,8,40,17,1,2,27,232,2
10,Amador Valley High School,1,,Pleasanton,CA,Combined,6,484,34,3,9,3,17,43,73,20,94,9,62,7,45,3,41,232,21
15,American High School,,,Fremont,CA,Combined,7,502,44,47,35,9,15,46,19,59,78,1,19,22,48,48,8,16,4
244,C.G. Woodson High School,Leviathan,,Fairfax,VA,Combined,8,580,5,36,80,64,28,33,8,37,6,30,25,93,42,54,36,7,3
160,Northwood High School,Silver,,Irvine,CA,Combined,9,587,8,6,173,58,7,40,29,29,3,33,1,17,141,5,11,6,26
142,Mountain House High School,Sapphire,,Mountain House,CA,Combined,10,618,21,32,65,77,12,11,7,56,14,33,99,46,29,33,28,232,55
27,BASIS Independent Silicon Valley,,,San Jose,CA,Combined,11,627,12,43,32,15,40,21,2,4,231,31,50,12,6,63,9,232,56
85,Fulton County Schools Innovation Academy,T-Rex,,Alpharetta,GA,Combined,12,648,49,9,57,71,31,17,55,31,82,25,34,46,29,22,70,232,20
38,Bridgeland High School,Orange,,Cypress,TX,Combined,13,723,17,13,82,22,108,9,39,28,41,185,29,40,62,15,6,2,27
188,River City Science Academy Middle-High School,RaTs,,Jacksonville,FL,Combined,14,744,39,45,167,73,67,27,44,62,5,15,11,17,23,105,36,232,8
24,BASIS Cedar Park,A,,Cedar Park,TX,Combined,15,748,68,50,63,27,39,19,74,83,12,41,53,17,67,44,18,232,73
217,Bronx High School of Science,,,Bronx,NY,Combined,16,767,44,57,57,24,27,17,98,15,32,98,51,83,2,39,21,39,102
239,Westview High School,,,Portland,OR,Combined,17,790,20,18,51,28,51,51,21,52,67,115,36,32,19,9,161,232,59
11,Amador Valley High School,2,,Pleasanton,CA,Combined,18,807,124,30,32,38,22,76,34,39,154,5,13,83,54,21,32,232,50
220,The Frazer School,3-Bet,,Gainesville,FL,Combined,19,828,12,20,18,12,37,5,232,7,13,80,45,49,57,4,5,232,232
238,Westlake High School,,,Austin,TX,Combined,20,830,30,2,118,18,83,68,1,8,103,66,71,28,63,49,99,232,23
159,Northwood High School,Navy,,Irvine,CA,Combined,21,835,16,147,83,17,8,19,10,132,33,59,5,40,142,51,16,232,57
174,Palo Alto High School,White,,Palo Alto,CA,Combined,22,841,89,35,70,64,13,25,92,26,4,52,43,86,97,38,58,232,49
102,James S. Rickards High School,1,,Tallahassee,FL,Combined,23,913,113,66,31,92,25,21,86,41,54,110,20,118,25,67,28,232,16
56,Chattahoochee High School,3,,Johns Creek,GA,Combined,24,925,63,79,73,51,29,57,103,30,23,62,112,65,82,6,21,232,69
62,Eagan High School,,,Eagan,MN,Combined,25,934,51,21,132,152,54,37,4,6,19,92,104,34,107,16,46,232,59
215,Sunset High School,,,Portland,OR,Combined,26,979,41,8,178,91,63,86,9,54,128,108,60,8,17,99,28,232,1
12,Amador Valley High School,3,,Pleasanton,CA,Combined,27,1004,78,64,59,92,59,51,45,41,76,99,49,6,36,73,98,232,78
21,Archimedean Upper Conservatory,Beta,,Miami,FL,Combined,28,1009,62,27,39,76,86,73,64,71,46,21,48,80,79,70,93,18,74
164,Olentangy Orange High School,1,,Lewis Center,OH,Combined,29,1035,167,66,62,6,93,3,43,161,36,19,149,2,25,46,104,232,53
161,Northwood High School,White,,Irvine,CA,Combined,30,1040,7,134,23,123,21,21,6,232,55,50,24,59,31,55,133,232,66
130,McCallie School,A,,Chattanooga,TN,Combined,31,1047,57,11,1,148,45,64,58,74,111,75,26,40,33,107,102,232,95
224,Westminster Schools,,,Atlanta,GA,Combined,32,1065,37,232,39,142,62,102,69,10,79,61,42,22,72,29,1,232,66
25,BASIS Chandler,1,,Chandler,AZ,Combined,33,1088,37,74,18,36,36,51,130,17,147,4,28,73,75,104,130,232,128
206,Spruce Creek High School,Orange,,Port Orange,FL,Combined,34,1110,55,33,111,62,48,46,12,75,95,140,47,133,32,36,144,9,41
135,Monta Vista High School,Blue,,Cupertino,CA,Combined,35,1111,19,21,2,7,1,81,24,1,8,232,232,1,9,9,232,232,232
41,Brookwood High School,C,,Snellville,GA,Combined,36,1137,71,84,77,104,55,118,36,113,31,72,80,68,85,45,73,232,25
229,Vestal High School,Green,,Vestal,NY,Combined,37,1139,25,17,7,68,37,1,134,34,231,38,127,80,114,107,110,45,9
32,Blue Valley North High School,Blue,,Overland Park,KS,Combined,38,1139,152,45,3,19,14,10,24,114,90,42,35,232,41,58,232,44,28
233,Walton High School,B,,Marietta,GA,Combined,39,1140,27,48,106,10,70,102,15,110,83,86,10,40,16,73,165,232,179
242,C.G. Woodson High School,Hydra,,Fairfax,VA,Combined,40,1142,60,31,23,125,96,60,75,70,110,65,22,114,90,154,33,28,14
99,Ithaca High School,Red,,Ithaca,NY,Combined,41,1158,128,65,100,71,101,60,22,87,96,53,118,10,4,118,90,232,35
71,Evergreen Valley High School,Teal,,San Jose,CA,Combined,42,1160,30,75,17,14,141,44,45,23,231,91,2,31,150,124,44,232,98
39,Brookwood High School,A,,Snellville,GA,Combined,43,1161,113,93,55,45,30,106,124,24,123,29,59,34,137,87,96,232,6
28,BASIS Independent Fremont,Primase,,Fremont,CA,Combined,44,1165,47,38,11,82,23,33,72,172,72,190,41,53,11,71,82,232,167
232,Walton High School,A,,Marietta,GA,Combined,45,1170,135,37,133,59,72,174,106,101,15,26,37,68,81,79,10,232,37
140,Mountain House High School,Obsidian,,Mountain House,CA,Combined,46,1170,30,61,103,35,20,86,51,188,24,119,99,142,119,19,26,232,48
40,Brookwood High School,B,,Snellville,GA,Combined,47,1181,135,107,60,83,47,90,31,76,44,57,73,50,129,87,50,232,62
5,Albany High School,White,,Albany,CA,Combined,48,1185,154,44,160,92,49,78,45,50,112,5,55,109,40,84,19,232,89
74,Florida Atlantic University High School,Burrowing,,Boca Raton,FL,Combined,49,1198,104,104,38,111,83,110,56,129,150,40,16,83,10,46,61,232,57
92,"Gwinnett School of Mathematics, Science, and Technology",1,,Lawrenceville,GA,Combined,50,1201,14,83,45,60,100,92,53,48,107,59,111,74,100,94,56,232,105
93,"Gwinnett School of Mathematics, Science, and Technology",2,,Lawrenceville,GA,Combined,51,1202,97,69,42,128,64,157,24,131,69,118,82,59,35,20,94,232,13
222,The Frazer School,Big Blind,,Gainesville,FL,Combined,52,1206,40,29,18,61,33,33,79,232,141,102,68,59,22,232,25,232,32
179,Queens High School for the Sciences at York College,,,Queens,NY,Combined,53,1220,96,91,25,87,68,37,113,54,231,12,57,68,18,73,126,232,64
13,Amador Valley High School,4,,Pleasanton,CA,Combined,54,1253,99,92,34,114,131,64,49,82,22,78,29,28,117,60,115,232,139
37,Bridgeland High School,Blue,,Cypress,TX,Combined,55,1290,23,59,232,36,19,8,62,14,131,182,7,34,104,43,137,232,199
4,Albany High School,Red,,Albany,CA,Combined,56,1314,46,158,99,137,42,98,19,143,28,47,63,137,78,61,65,232,93
26,BASIS Chandler,2,,Chandler,AZ,Combined,57,1319,28,71,22,41,112,106,57,72,119,93,77,119,48,112,135,232,107
14,American Heritage School - Palm Beach,,,Delray Beach,FL,Combined,58,1322,129,12,76,135,53,84,98,104,100,18,141,15,87,103,47,232,120
