number,school,team,exhibition,city,state,track,rank,total,Anatomy and Physiology,Astronomy,Boomilever (Trial),Brawl Stars Trivia (Trial),Bungee Drop (Trial),Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Electric Vehicle (Trial),Engineering CAD,Entomology,Experimental Design,Forensics,Helicopter (Trial),Hovercraft (Trial),Machines,Materials Science,Remote Sensing,Robot Tour (Trial),Rocks and Minerals,Streamer University Entrance Exam (Trial),Texas Trivia (Trial),Valorant Variety (Trial),Water Quality,Write It Do It (Trial)
31,Marquette University High School,,,Milwaukee,WI,,1,114,3,1,67,67,67,9,7,1,2,1,7,67,17,3,4,10,67,67,15,6,4,67,4,67,67,67,20,67
10,BASIS Independent Silicon Valley,,,San Jose,CA,,2,133,2,24,67,67,67,3,3,11,4,3,1,67,12,19,10,8,67,67,4,1,9,67,1,67,67,67,18,67
27,Glen A. Wilson High School,Cardinal,,Hacienda Heights,CA,,3,174,46,9,6,67,8,5,10,6,13,8,11,5,6,7,3,7,3,1,14,11,3,6,5,67,67,67,10,67
3,Archimedean Upper Conservatory,Alpha,,Miami,FL,,4,189,14,6,9,5,67,18,14,3,10,10,5,67,15,18,7,2,9,67,7,10,22,67,3,67,4,11,25,9
5,Arnold O. Beckman High School,Team 1,,Irvine,CA,,5,190,21,17,67,67,67,1,8,5,8,7,2,67,9,24,20,1,67,67,28,14,1,1,2,67,67,67,22,67
1,Advanced Technologies Academy,Purple,,Las Vegas,NV,,6,196,13,3,67,67,67,7,4,8,18,21,4,67,3,10,6,3,6,67,19,4,24,3,20,67,67,67,29,67
67,Seven Lakes High School,,,Katy,TX,,7,250,18,5,67,67,67,13,19,9,29,17,13,67,13,1,12,6,67,67,11,21,32,67,30,67,67,67,1,67
54,The Frazer School,Big Blind,,Gainesville,FL,,8,260,24,2,67,8,67,7,14,22,40,25,3,67,11,22,19,23,67,67,1,3,2,67,6,67,2,67,36,1
58,Ed W. Clark High School,Black,,Las Vegas,NV,,9,278,32,20,5,67,67,21,21,21,14,4,6,67,7,8,21,29,4,67,12,13,18,67,18,4,67,67,13,67
9,BASIS Cedar Park,A,,Cedar Park,TX,,10,280,23,19,67,9,2,35,2,19,31,11,16,67,21,12,9,5,67,67,30,5,26,67,7,67,6,67,9,67
28,Glen A. Wilson High School,Gold,,Hacienda Heights,CA,,11,341,19,22,12,3,1,14,42,7,25,6,15,6,67,14,5,13,10,4,16,19,21,7,28,67,67,8,8,2
