number,school,team,exhibition,city,state,track,rank,total,Anatomy and Physiology,Astronomy,Boomilever,Bungee Drop,Chemistry Lab,Circuit Lab,Codebusters,Designer Genes,Disease Detectives,Dynamic Planet,Electric Vehicle,Entomology,Experimental Design,Forensics,GeoWizard (Trial),Helicopter,History of Science (Trial),Hovercraft,Machines,Materials Science,Remote Sensing,Robot Tour,Rocket Science (Trial),Rocks and Minerals,Science Word (Trial),Silicon Showdown (Trial),Water Quality
23,Seven Lakes High School,,,Katy,TX,,1,151,5,14,1,8,4,14,5,8,1,1,19,1,24,6,16,3,16,3,4,9,1,6,1,13,61,61,1
19,Jordan High School,Team B,,Fulshear,TX,,2,161,4,5,8,2,6,22,2,7,14,2,2,3,10,3,61,28,11,4,2,12,4,8,61,9,7,61,4
3,Obra D. Tompkins High School,Team A,,Katy,TX,,3,179,1,2,7,7,9,4,1,6,13,3,13,6,11,2,1,7,2,2,45,2,2,3,3,8,5,3,25
54,BASIS Cedar Park,A,,Cedar Park,TX,,4,191,3,12,37,4,10,8,4,2,8,14,22,4,1,4,46,4,61,8,7,3,5,7,61,3,61,10,21
35,Liberal Arts and Science Academy,Team B,,Austin,TX,,5,244,16,10,2,35,25,1,9,12,44,5,16,2,3,14,47,1,61,6,15,1,3,5,61,11,61,61,8
18,Jordan High School,Team A,,Fulshear,TX,,6,247,8,13,21,1,13,7,3,10,7,4,10,10,17,5,6,29,27,5,3,61,9,1,19,1,1,27,9
16,William P. Clements High School,Team A,,Sugar Land,TX,,7,311,30,7,18,12,7,3,7,3,9,7,22,7,18,13,8,30,1,62,1,4,11,26,5,7,61,17,7
17,William P. Clements High School,Team B,,Sugar Land,TX,,8,330,2,9,28,22,8,2,6,4,15,10,31,19,15,1,5,14,8,62,14,15,6,26,11,18,61,25,3
31,Stephen F. Austin High School,Team A,,Austin,TX,,9,349,27,16,29,26,2,10,10,16,4,8,6,22,6,16,11,12,21,14,40,33,12,25,22,2,36,19,13
34,Liberal Arts and Science Academy,Team A,,Austin,TX,,10,363,14,1,3,5,5,27,8,1,3,31,3,28,2,7,61,61,61,16,17,6,26,61,61,4,11,1,34
37,Cypress Woods High School,Team A,,Cypress,TX,,11,378,32,21,9,15,12,21,14,34,23,24,22,8,7,9,30,32,6,9,43,13,16,2,12,6,6,7,6
4,Obra D. Tompkins High School,Team B,,Katy,TX,,12,441,17,23,5,29,32,6,15,9,17,18,9,14,16,41,10,10,19,62,21,29,8,16,9,42,30,20,2
32,Stephen F. Austin High School,Team B,,Austin,TX,,13,456,19,3,12,40,20,42,33,15,12,13,28,23,9,12,20,61,26,1,36,8,35,24,18,5,33,30,5
46,Prestonwood Christian Academy,Team A,,Plano,TX,,14,468,13,31,13,25,15,15,11,17,38,28,1,34,25,19,32,22,61,10,37,21,21,12,61,25,26,61,35
41,Kempner High School,Team A,,Sugar Land,TX,,15,479,35,17,4,3,47,29,13,26,2,17,8,5,5,38,45,21,9,62,12,41,36,9,4,33,13,26,16
58,BASIS Pflugerville,,,Pflugerville,TX,,16,483,23,41,22,30,26,16,16,28,27,23,14,20,27,24,18,18,32,7,34,38,7,17,23,15,22,32,10
